# slug | brand | code | assigned_leaf | price | title | description
bosch-00664949 | Bosch | 00664949 | cooking-accessories | 27.52 | "Cooking dish GN Solid Gastronorm shallow tray for steam ovens" | "Cooking dish GN Solid Gastronorm shallow tray for steam ovens"
bosch-00664959 | Bosch | 00664959 | cooking-accessories | 32.39 | "Multi-use Wire Shelf" | "Multi-use Wire Shelf"
bosch-00666902 | Bosch | 00666902 | cooking-accessories | 21.28 | "Enamel Baking Tray" | "Enamel Baking Tray"
bosch-00674917 | Bosch | 00674917 | cooking-accessories | 94.5 | "Hob Connecting Strips" | "Hob Connecting Strips"
bosch-00680616 | Bosch | 00680616 | cooking-accessories | 53.12 | "Extra Deep Universal Pan" | "Extra Deep Universal Pan"
bosch-00701456 | Bosch | 00701456 | cooking-accessories | 36.8 | "Cooking container Gastronorm 2/3, with perforated lines, 28mm deep" | "Cooking container Gastronorm 2/3, with perforated lines, 28mm deep"
bosch-00704255 | Bosch | 00704255 | cooking-accessories | 145.26 | "Chimney Extension: 750mm" | "Chimney Extension: 750mm"
bosch-00704256 | Bosch | 00704256 | cooking-accessories | 105.22 | "Chimney Extension: 500mm" | "Chimney Extension: 500mm"
bosch-00704532 | Bosch | 00704532 | cooking-accessories | 418.34 | "Chimney Extension: 1600mm" | "Chimney Extension: 1600mm"
bosch-00704534 | Bosch | 00704534 | cooking-accessories | 430.12 | "Chimney extension For chimney hoods" | "Chimney extension For chimney hoods"
bosch-00704535 | Bosch | 00704535 | cooking-accessories | 375.49 | "Chimney Extension: 1500mm" | "Chimney Extension: 1500mm"
bosch-00704536 | Bosch | 00704536 | cooking-accessories | 234.37 | "Chimney Extension: 1500mm" | "Chimney Extension: 1500mm"
bosch-00704537 | Bosch | 00704537 | cooking-accessories | 235.21 | "Chimney extension Chimney extension 1500mm for extractor hoods" | "Chimney extension Chimney extension 1500mm for extractor hoods"
bosch-00704539 | Bosch | 00704539 | cooking-accessories | 231.97 | "Chimney Extension: 1100mm" | "Chimney Extension: 1100mm"
bosch-00704540 | Bosch | 00704540 | cooking-accessories | 198.2 | "Chimney Extension: 1000mm" | "Chimney Extension: 1000mm"
bosch-00704541 | Bosch | 00704541 | cooking-accessories | 164.14 | "Chimney Extension: 1000mm" | "Chimney Extension: 1000mm"
bosch-00704640 | Bosch | 00704640 | cooking-accessories | 130.42 | "Mounting Tower Extension" | "Mounting Tower Extension"
bosch-00704641 | Bosch | 00704641 | cooking-accessories | 205.58 | "Mounting Tower Extension" | "Mounting Tower Extension"
bosch-00704642 | Bosch | 00704642 | cooking-accessories | 116.96 | "Mounting tower extension Extension for mounting kit for extractor hoods 500mm" | "Mounting tower extension Extension for mounting kit for extractor hoods 500mm"
bosch-00704643 | Bosch | 00704643 | cooking-accessories | 204.66 | "Mounting Tower Extension" | "Mounting Tower Extension"
bosch-00706588 | Bosch | 00706588 | cooking-accessories | 58.98 | "Standard Recirculation Kit" | "Standard Recirculation Kit"
bosch-00706591 | Bosch | 00706591 | cooking-accessories | 32.86 | "Standard recirculation kit" | "Standard recirculation kit"
bosch-00740766 | Bosch | 00740766 | cooking-accessories | 11.21 | "Oven Wire Shelf Insert 384mm x 313mm x 60mm" | "Oven Wire Shelf Insert 384mm x 313mm x 60mm"
bosch-00740815 | Bosch | 00740815 | cooking-accessories | 23.12 | "Multi-use Wire Shelf" | "Multi-use Wire Shelf"
bosch-00741839 | Bosch | 00741839 | cooking-accessories | 32.56 | "Baking tray" | "Baking tray"
bosch-00744076 | Bosch | 00744076 | cooking-accessories | 67.19 | "Standard recirculation kit" | "Standard recirculation kit"
bosch-00754544 | Bosch | 00754544 | cooking-accessories | 10.36 | "Oven Power Cord 1.2M Cable Long" | "Oven Power Cord 1.2M Cable Long"
bosch-00772760 | Bosch | 00772760 | cooking-accessories | 160.85 | "Standard recirculation kit" | "Standard recirculation kit"
bosch-00776201 | Bosch | 00776201 | cooking-accessories | 108.32 | "Installation kit Intermediate floor for combining two ovens. 12 x 511 x 555 mm, Stainless steel" | "Installation kit Intermediate floor for combining two ovens."
bosch-11005748 | Bosch | 11005748 | cooking-accessories | 13.78 | "Paper filter Filter-grease" | "Paper filter Filter-grease"
bosch-11005750 | Bosch | 11005750 | cooking-accessories | 13.78 | "Paper filter Filter-grease" | "Paper filter Filter-grease"
bosch-11008126 | Bosch | 11008126 | cooking-accessories | 217.96 | "Standard odor filter" | "Standard odor filter"
bosch-11010192 | Bosch | 11010192 | cooking-accessories | 214.14 | "Standard recirculation kit" | "Standard recirculation kit"
bosch-11010524 | Bosch | 11010524 | cooking-accessories | 81.02 | "Installation kit" | "Installation kit"
bosch-11015122 | Bosch | 11015122 | cooking-accessories | 213.24 | "Long Life odor filter (replacement)" | "Long Life odor filter (replacement)"
bosch-11016543 | Bosch | 11016543 | cooking-accessories | 225.72 | "Starter set for circulating air mode FOR US/CA ONLY: 11016543 not for sale; order 17004653." | "Starter set for circulating air mode FOR US/CA ONLY: 11016543 not for sale; order 17004653."
bosch-11019195 | Bosch | 11019195 | cooking-accessories | 142.72 | "Chimney extension Length 1000mm" | "Chimney extension Length 1000mm"
bosch-11019196 | Bosch | 11019196 | cooking-accessories | 237.6 | "Chimney extension Length 1500mm" | "Chimney extension Length 1500mm"
bosch-11023685 | Bosch | 11023685 | cooking-accessories | 295.66 | "Long Life odor filter 458X190X45" | "Long Life odor filter 458X190X45"
bosch-11027159 | Bosch | 11027159 | cooking-accessories | 84.14 | "Large stainless steel cooking dish" | "Large stainless steel cooking dish"
bosch-11027160 | Bosch | 11027160 | cooking-accessories | 85.19 | "Large stainless steel cooking tray" | "Large stainless steel cooking tray"
bosch-11029049 | Bosch | 11029049 | cooking-accessories | 30.22 | "Universal Oven Pan - Enamelled Anthracite" | "Universal Oven Pan - Enamelled Anthracite"
bosch-11042136 | Bosch | 11042136 | cooking-accessories | 137.87 | "Clean Air Plus odor filter (replacement)" | "Clean Air Plus odor filter (replacement)"
bosch-11063090 | Bosch | 11063090 | cooking-accessories | 21.28 | "Universal pan with tiltnose at the bottom - Enameled anthracite" | "Universal pan with tiltnose at the bottom - Enameled anthracite"
bosch-12020221 | Bosch | 12020221 | cooking-accessories | 55.36 | "Standard odor filter" | "Standard odor filter"
bosch-12054975 | Bosch | 12054975 | cooking-accessories | 34.93 | "Multi-use wire shelf Full steam without railing, stainless steel 455 x 375 x 31 mm" | "Multi-use wire shelf Full steam without railing, stainless steel"
bosch-17000300 | Bosch | 17000300 | cooking-accessories | 182.89 | "Griddle Plate for FlexInduction Hobs" | "Griddle Plate for FlexInduction Hobs"
bosch-17000302 | Bosch | 17000302 | cooking-accessories | 42.77 | "Pizza tray" | "Pizza tray"
bosch-17000305 | Bosch | 17000305 | cooking-accessories | 66.64 | "Glass baking tray" | "Glass baking tray"
bosch-17000334 | Bosch | 17000334 | cleaning-products | 7.96 | "Glass Scraper" | "Glass Scraper"
bosch-17000785 | Bosch | 17000785 | cooking-accessories | 380.51 | "Long Life recirculation kit (chimless)" | "Long Life recirculation kit (chimless)"
bosch-17000786 | Bosch | 17000786 | cooking-accessories | 475.58 | "Long Life recirculation kit (chimless)" | "Long Life recirculation kit (chimless)"
bosch-17001211 | Bosch | 17001211 | cooking-accessories | 13.98 | "Mepal Cirqula Food Storage Bowl - 500ml (Nordic Blue)" | "Mepal Cirqula Food Storage Bowl - 500ml (Nordic Blue)"
bosch-17001215 | Bosch | 17001215 | cooking-accessories | 13.12 | "Mepal Cirqula Food Storage Bowl - 500ml (Nordic White)" | "Mepal Cirqula Food Storage Bowl - 500ml (Nordic White)"
bosch-17001217 | Bosch | 17001217 | cooking-accessories | no-price | "Mepal Cirqula Food Storage Bowl - 500ml (Nordic Blush)" | "Mepal Cirqula Food Storage Bowl - 500ml (Nordic Blush)"
